State_Year,Year,State,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G,Count
2008_MN,2008,MN,10118118.0,10462624.0,275864.0,836048.0,33650
2008_MO,2008,MO,9335599.0,9900419.0,282460.0,917871.0,33910
2008_MS,2008,MS,4449009.0,4363308.0,136917.0,491962.0,9598
2008_MT,2008,MT,1562815.0,1557678.0,45030.0,141899.0,5944
2008_NC,2008,NC,13610326.0,13731201.0,429719.0,1488645.0,53298
2008_ND,2008,ND,1104803.0,1085970.0,30773.0,94728.0,2562
2008_NE,2008,NE,3383157.0,3325663.0,89678.0,292590.0,17354
2008_NH,2008,NH,2715463.0,2715961.0,64939.0,197934.0,8950
2008_NJ,2008,NJ,25916004.0,26168480.0,409500.0,1381420.0,57866
2008_NM,2008,NM,3569311.0,3599724.0,98830.0,330245.0,13482
2008_NV,2008,NV,4338601.0,4881218.0,125034.0,433371.0,36812
2008_NY,2008,NY,53147343.0,54870811.0,839837.0,2740592.0,254678
2008_OH,2008,OH,22746589.0,21951104.0,577669.0,1817163.0,56152
2008_OK,2008,OK,5780151.0,5667749.0,176679.0,645108.0,16506
2008_OR,2008,OR,6107684.0,6407512.0,179972.0,575393.0,89304
2008_PA,2008,PA,26357235.0,26597713.0,579521.0,1775029.0,64756
2008_RI,2008,RI,2173888.0,2175172.0,47359.0,145342.0,5274
2008_SC,2008,SC,7743317.0,8167262.0,210511.0,718113.0,24126
2008_SD,2008,SD,1190917.0,1172715.0,38952.0,126429.0,2524
2008_TN,2008,TN,8086152.0,8488521.0,287401.0,971950.0,45548
2008_TX,2008,TX,46245975.0,50205827.0,1305637.0,4752148.0,178448
2008_UT,2008,UT,4198001.0,4337917.0,155309.0,559778.0,15140
2008_VA,2008,VA,14768120.0,15236306.0,380787.0,1235795.0,37232
2008_VT,2008,VT,1888635.0,1888133.0,30631.0,93625.0,4284
2008_WA,2008,WA,11195224.0,11677666.0,332224.0,1037018.0,93962
2008_WI,2008,WI,10619354.0,10545964.0,284222.0,873750.0,23170
2008_WY,2008,WY,1602514.0,1517325.0,26526.0,87161.0,3138
2009_AK,2009,AK,2158970.0,2396412.0,40837.0,131661.0,8614
2009_AL,2009,AL,7186390.0,7815467.0,219495.0,748889.0,26698
2009_AR,2009,AR,4753142.0,5017352.0,136213.0,480559.0,12220
2009_AZ,2009,AZ,8802515.0,9580393.0,317397.0,1077831.0,63342
2009_CA,2009,CA,73958896.0,74766086.0,1997064.0,6263438.0,557536
2009_CO,2009,CO,8310673.0,8682489.0,240990.0,832368.0,63644
2009_CT,2009,CT,9681268.0,9323053.0,174004.0,563968.0,20068
2009_DC,2009,DC,801008.0,805362.0,17597.0,69433.0,28758
2009_DE,2009,DE,1718993.0,1798244.0,39091.0,126801.0,4854
2009_FL,2009,FL,26494500.0,28867429.0,783621.0,2634522.0,240520
2009_GA,2009,GA,17972839.0,19025136.0,472934.0,1667685.0,88982
2009_HI,2009,HI,2689758.0,2318671.0,52630.0,180196.0,24672
2009_IA,2009,IA,5732319.0,5732186.0,150509.0,491842.0,14132
2009_ID,2009,ID,2182273.0,2078446.0,81571.0,276299.0,8176
2009_IL,2009,IL,26987426.0,27716187.0,640462.0,2104175.0,60644
2009_IN,2009,IN,12999357.0,11218398.0,316062.0,1046661.0,29466
2009_KS,2009,KS,5615208.0,5827751.0,140240.0,474489.0,7070
2009_KY,2009,KY,6706922.0,6831006.0,195515.0,680089.0,25338
2009_LA,2009,LA,7984550.0,8053960.0,181032.0,690915.0,59646
2009_MA,2009,MA,15298022.0,15174814.0,290502.0,957053.0,65802
2009_MD,2009,MD,13147931.0,12757599.0,266627.0,848412.0,50916
2009_ME,2009,ME,2623127.0,2624504.0,60579.0,189225.0,10148
2009_MI,2009,MI,19616665.0,19992550.0,529531.0,1649082.0,59318
2009_MN,2009,MN,10353784.0,11193640.0,272392.0,837053.0,33770
2009_MO,2009,MO,9472520.0,10227305.0,279900.0,917982.0,30594
2009_MS,2009,MS,4392101.0,4552756.0,137511.0,492481.0,12232
2009_MT,2009,MT,1607935.0,1622485.0,43939.0,141807.0,5104
2009_NC,2009,NC,15410564.0,14868070.0,429596.0,1483397.0,54652
2009_ND,2009,ND,1150142.0,1137260.0,30497.0,95073.0,3232
2009_NE,2009,NE,3522481.0,3523803.0,88508.0,295368.0,15862
2009_NH,2009,NH,2816162.0,2757401.0,64372.0,197140.0,7240
2009_NJ,2009,NJ,26510413.0,26145334.0,412848.0,1396029.0,54544
2009_NM,2009,NM,3703477.0,3945515.0,99076.0,334419.0,15458
2009_NV,2009,NV,4442101.0,4577881.0,123420.0,428947.0,46950
2009_NY,2009,NY,55885116.0,57851481.0,858087.0,2766052.0,252828
2009_OH,2009,OH,22779344.0,22427481.0,538951.0,1764297.0,55406
2009_OK,2009,OK,6029807.0,5941799.0,177366.0,654802.0,20660
2009_OR,2009,OR,6158756.0,6715011.0,178388.0,582839.0,74920
2009_PA,2009,PA,26755585.0,27328680.0,584316.0,1785993.0,63980
2009_RI,2009,RI,2179714.0,2171376.0,46934.0,145118.0,6868
2009_SC,2009,SC,7669733.0,8427391.0,211019.0,723143.0,19240
2009_SD,2009,SD,1258876.0,1273527.0,37968.0,123713.0,3142
2009_TN,2009,TN,8112895.0,8611178.0,285881.0,972549.0,47392
2009_TX,2009,TX,48087531.0,53575273.0,1329862.0,4850210.0,159084
2009_UT,2009,UT,4238943.0,4419750.0,158243.0,571586.0,16580
2009_VA,2009,VA,15251481.0,15510318.0,381320.0,1245340.0,38650
2009_VT,2009,VT,1683034.0,1661019.0,29265.0,91451.0,5124
2009_WA,2009,WA,12025012.0,12240632.0,329960.0,1035347.0,96346
2009_WI,2009,WI,10991081.0,10880480.0,279000.0,872436.0,27532
2009_WY,2009,WY,1675761.0,1658156.0,26330.0,88155.0,2218
2010_AK,2010,AK,2230338.0,2371251.0,40114.0,132104.0,7780
2010_AL,2010,AL,7281058.0,7647571.0,221940.0,755552.0,26270
2010_AR,2010,AR,5069272.0,5520387.0,136156.0,482114.0,11838
2010_AZ,2010,AZ,8828122.0,8812967.0,319747.0,1071751.0,58714
2010_CA,2010,CA,67356719.0,71227111.0,1993538.0,6289578.0,556390
2010_CO,2010,CO,8793676.0,8914338.0,242239.0,843316.0,64792
2010_CT,2010,CT,9726922.0,9542108.0,173071.0,560546.0,18818
2010_DC,2010,DC,1195934.0,1290048.0,17632.0,71284.0,30376
2010_DE,2010,DE,1733458.0,1758988.0,39124.0,129403.0,4122
2010_FL,2010,FL,26231141.0,27267009.0,784849.0,2643347.0,248668
2010_GA,2010,GA,17839851.0,17834488.0,474588.0,1677067.0,86614
2010_HI,2010,HI,2564856.0,2215458.0,51975.0,179601.0,24938
2010_IA,2010,IA,5744872.0,5941449.0,147663.0,495775.0,12554
2010_ID,2010,ID,2177999.0,2098737.0,81715.0,275859.0,9606
2010_IL,2010,IL,28253620.0,28560306.0,636861.0,2091654.0,61840
2010_IN,2010,IN,14023240.0,11502534.0,317818.0,1047232.0,27358
2010_KS,2010,KS,5454128.0,5979429.0,139505.0,483701.0,7562
2010_KY,2010,KY,6881951.0,7092071.0,192661.0,673128.0,27882
2010_LA,2010,LA,8091029.0,8125021.0,184292.0,696558.0,59558
2010_MA,2010,MA,14919763.0,14857823.0,289161.0,955563.0,70598
2010_MD,2010,MD,13327770.0,13205691.0,264055.0,852211.0,47738
2010_ME,2010,ME,2721365.0,2680693.0,60148.0,189077.0,9968
2010_MI,2010,MI,19393461.0,19967017.0,508868.0,1587067.0,55880
2010_MN,2010,MN,10383935.0,10564774.0,268074.0,838037.0,34456
2010_MO,2010,MO,9587703.0,10139784.0,275719.0,918710.0,35978
2010_MS,2010,MS,4466377.0,4504257.0,136277.0,490526.0,11686
2010_MT,2010,MT,1623971.0,1642886.0,43202.0,141693.0,6750
2010_NC,2010,NC,16621268.0,14162497.0,432196.0,1490605.0,51722
2010_ND,2010,ND,1308214.0,1267426.0,30288.0,96323.0,3324
2010_NE,2010,NE,3720560.0,3640199.0,88208.0,298500.0,16578
2010_NH,2010,NH,2906573.0,2856965.0,63135.0,194711.0,6948
2010_NJ,2010,NJ,26676217.0,26736651.0,405143.0,1402548.0,56702
2010_NM,2010,NM,3638606.0,3814058.0,98777.0,338122.0,15458
2010_NV,2010,NV,4262471.0,4260869.0,129831.0,437149.0,47650
2010_NY,2010,NY,55453300.0,60067253.0,851829.0,2734955.0,270942
2010_OH,2010,OH,23247907.0,22701333.0,531383.0,1754191.0,54756
2010_OK,2010,OK,5778507.0,5971651.0,175949.0,659911.0,22156
2010_OR,2010,OR,6219779.0,6398065.0,178119.0,570720.0,83170
2010_PA,2010,PA,27883991.0,28231191.0,582442.0,1793284.0,61112
2010_RI,2010,RI,2207123.0,2187163.0,46059.0,143793.0,5300
2010_SC,2010,SC,7755419.0,8242553.0,210257.0,725838.0,19240
2010_SD,2010,SD,1292742.0,1281632.0,38192.0,126128.0,3142
2010_TN,2010,TN,8405025.0,8760367.0,285715.0,987422.0,46094
2010_TX,2010,TX,50559500.0,53810244.0,1349106.0,4935715.0,153508
2010_UT,2010,UT,4250259.0,4326951.0,160573.0,585552.0,13948
