State_Year,Year,State,Other,Sheltered,Unsheltered
2009_MO,2009,MO,15297,12018,3279
2009_MS,2009,MS,6116,2594,3522
2009_MT,2009,MT,2552,1773,779
2009_NC,2009,NC,27326,18053,9273
2009_ND,2009,ND,1616,1596,20
2009_NE,2009,NE,7931,6571,1360
2009_NH,2009,NH,3620,3097,523
2009_NJ,2009,NJ,27272,24446,2826
2009_NM,2009,NM,7729,4557,3172
2009_NV,2009,NV,23475,15780,7695
2009_NY,2009,NY,126414,117180,9234
2009_OH,2009,OH,27703,23696,4007
2009_OK,2009,OK,10330,7152,3178
2009_OR,2009,OR,37460,15803,21657
2009_PA,2009,PA,31990,28665,3325
2009_PR,2009,PR,10335,3311,7024
2009_RI,2009,RI,3434,3302,132
2009_SC,2009,SC,9620,6464,3156
2009_SD,2009,SD,1571,1379,192
2009_TN,2009,TN,23696,15764,7932
2009_TX,2009,TX,79542,46057,33485
2009_UT,2009,UT,8290,7525,765
2009_VA,2009,VA,19325,15602,3723
2009_VI,2009,VI,1311,156,1155
2009_VT,2009,VT,2562,2193,369
2009_WA,2009,WA,48173,34082,14091
2009_WI,2009,WI,13766,11542,2224
2009_WV,2009,WV,3671,2795,876
2009_WY,2009,WY,1109,932,177
2010_AK,2010,AK,3890,3461,429
2010_AL,2010,AL,13135,8284,4851
2010_AR,2010,AR,5919,3601,2318
2010_AZ,2010,AZ,29357,14972,14385
2010_CA,2010,CA,278195,108762,169433
2010_CO,2010,CO,32396,18572,13824
2010_CT,2010,CT,9409,8229,1180
2010_DC,2010,DC,15188,13941,1247
2010_DE,2010,DE,2061,1931,130
2010_FL,2010,FL,124334,47334,77000
2010_GA,2010,GA,43307,18987,24320
2010_GU,2010,GU,3298,365,2933
2010_HI,2010,HI,12469,7166,5303
2010_IA,2010,IA,6277,5988,289
2010_ID,2010,ID,4803,3165,1638
2010_IL,2010,IL,30920,25851,5069
2010_IN,2010,IN,13679,10944,2735
2010_KS,2010,KS,3781,3445,336
2010_KY,2010,KY,13941,11602,2339
2010_LA,2010,LA,29779,8418,21361
2010_MA,2010,MA,35299,32692,2607
2010_MD,2010,MD,23869,14261,9608
2010_ME,2010,ME,4984,4923,61
2010_MI,2010,MI,27940,21747,6193
2010_MN,2010,MN,17228,14609,2619
2010_MO,2010,MO,17989,14009,3980
2010_MS,2010,MS,5843,2492,3351
2010_MT,2010,MT,3375,2432,943
2010_NC,2010,NC,25861,19423,6438
2010_ND,2010,ND,1662,1597,65
2010_NE,2010,NE,8289,7126,1163
2010_NH,2010,NH,3474,2954,520
2010_NJ,2010,NJ,28351,24783,3568
2010_NM,2010,NM,7729,4557,3172
2010_NV,2010,NV,23825,15949,7876
2010_NY,2010,NY,135471,124839,10632
2010_OH,2010,OH,27378,23134,4244
2010_OK,2010,OK,11078,7025,4053
2010_OR,2010,OR,41585,15145,26440
2010_PA,2010,PA,30556,27704,2852
2010_PR,2010,PR,10516,3492,7024
2010_RI,2010,RI,2650,2472,178
2010_SC,2010,SC,9620,6464,3156
2010_SD,2010,SD,1571,1379,192
2010_TN,2010,TN,23047,15494,7553
2010_TX,2010,TX,76754,40959,35795
2010_UT,2010,UT,6974,5569,1405
2010_VA,2010,VA,19670,15861,3809
2010_VI,2010,VI,1359,204,1155
2010_VT,2010,VT,2573,2241,332
2010_WA,2010,WA,47862,34259,13603
2010_WI,2010,WI,13393,11114,2279
2010_WV,2010,WV,5044,3406,1638
2010_WY,2010,WY,1259,1082,177
2011_AK,2011,AK,5050,4144,906
2011_AL,2011,AL,14003,8721,5282
2011_AR,2011,AR,8473,4528,3945
2011_AZ,2011,AZ,27102,17678,9424
2011_CA,2011,CA,336217,122149,214068
2011_CO,2011,CO,35296,14771,20525
2011_CT,2011,CT,11553,9456,2097
2011_DC,2011,DC,18625,17440,1185
2011_DE,2011,DE,2265,2197,68
2011_FL,2011,FL,142294,51078,91216
2011_GA,2011,GA,53355,22695,30660
2011_GU,2011,GU,4263,415,3848
2011_HI,2011,HI,14751,7706,7045
2011_IA,2011,IA,7237,6849,388
2011_ID,2011,ID,5264,3637,1627
2011_IL,2011,IL,34225,25909,8316
2011_IN,2011,IN,14310,12588,1722
2011_KS,2011,KS,5579,4882,697
2011_KY,2011,KY,14272,12099,2173
2011_LA,2011,LA,28398,7583,20815
2011_MA,2011,MA,38718,36554,2164
2011_MD,2011,MD,24712,15365,9347
2011_ME,2011,ME,5445,5361,84
2011_MI,2011,MI,30857,24999,5858
2011_MN,2011,MN,19163,16541,2622
2011_MO,2011,MO,22169,16329,5840
2011_MS,2011,MS,5759,2496,3263
2011_MT,2011,MT,4435,2865,1570
2011_NC,2011,NC,29992,21263,8729
2011_ND,2011,ND,1480,1379,101
2011_NE,2011,NE,8410,7153,1257
2011_NH,2011,NH,3516,2732,784
2011_NJ,2011,NJ,30995,27904,3091
2011_NM,2011,NM,9800,7043,2757
2011_NV,2011,NV,22246,10174,12072
2011_NY,2011,NY,141071,128942,12129
